variant,full_span_sharpe,stitched_sharpe,test_2010,test_2011,test_2012,test_2013,test_2014,test_2015,test_2016,test_2017,test_2018,test_2019,test_2020,test_2021,test_2022,test_2023
XS,0.13326386596401082,0.07597709007678394,0.6902308184225285,1.995011454540023,-1.2987308871533894,0.2921370811788907,-0.010464921349415481,0.746925044138743,-0.7210008619298134,-0.48966104367129976,0.9258965651565499,-0.3816674663945094,0.2832056420928268,-1.2460096409343273,-0.20353659699148496,1.1638120738509865
TS,-0.005656193183002854,0.049896655808865376,1.0177075514316127,2.112138311592006,-1.5015154119678518,0.7908404004870454,-1.102094225434756,-0.6167859924700393,-0.6298524804302401,-0.5244018710646275,1.3167929591594625,0.7392387981195081,-1.1919686031929841,0.3596331645809407,-0.1455646894294896,0.6450969663738989
BOTH,0.08755072871025582,0.09735696458573662,0.9503554757276588,2.140979726043188,-1.5941790911960365,0.6200529220520139,-0.7064994110699606,0.09887917612735309,-0.5821232908143509,-0.4325201563252407,1.248473817180978,0.23164667799700872,-0.499267205911267,-0.16662923329250623,-0.12373531154040647,0.9342730162893498
