date,fx_net,bond_net,leg_net,stitched
2007-02-28,0.0,178.89508002718225,89.44754001359112,False
2007-03-01,-299.99999999999994,-360.0947939883924,-330.04739699419616,False
2007-03-02,-1706.4956328058183,-697.4793760886879,-1201.987504447253,False
2007-03-05,-1882.9234146793979,-161.967449113797,-1022.4454318965975,False
2007-03-06,1191.584144988211,376.0794925917748,783.8318187899929,False
2007-03-07,-298.210914491763,-452.0968674608128,-375.1538909762879,False
2007-03-08,1035.717320227021,93.8765055652987,564.7969128961598,False
2007-03-09,1688.7060825264396,1387.7151496529543,1538.210616089697,False
2007-03-12,-146.50872916621927,-567.7079310969289,-357.10833013157406,False
2007-03-13,-1489.5850326925943,-905.370371715984,-1197.477702204289,False
2007-03-14,611.6122658769666,480.1187730397459,545.8655194583563,False
2007-03-15,978.3982575284249,153.6609114438223,566.0295844861236,False
2007-03-16,-245.8796465734718,49.02568588845116,-98.42698034251032,False
2007-03-19,1113.3151957584548,316.91593974838986,715.1155677534223,False
2007-03-20,921.7779095481617,-185.9327594807543,367.9225750337037,False
2007-03-21,770.9701379878322,-178.36546750995743,296.3023352389374,False
2007-03-22,400.072695674554,945.5475581678799,672.8101269212169,False
2007-03-23,120.52951674988202,392.00043650023935,256.2649766250607,False
2007-03-26,400.11480856173506,-161.85026631887732,119.13227112142887,False
2007-03-27,-424.6172071051032,162.0206579690853,-131.29827456800894,False
2007-03-28,-938.5581125444097,170.80466569662985,-383.8767234238899,False
2007-03-29,1141.9030787282582,280.25008355796547,711.0765811431118,False
2007-03-30,52.31599673217503,290.55373923485314,171.4348679835141,False
2007-04-02,1096.0647309428653,-347.3220072987474,374.37136182205893,False
2007-04-03,606.5470668693431,31.23230685996084,318.889686864652,False
2007-04-04,231.84124506025063,-182.41944154156496,24.710901759342832,False
2007-04-05,76.50171145108378,81.02443024107339,78.76307084607859,False
2007-04-09,227.4010128284446,162.18442861194515,194.7927207201949,False
2007-04-10,786.2983509510699,-63.14245054519925,361.5779502029353,False
2007-04-11,420.8287986427081,162.49787690404207,291.6633377733751,False
2007-04-12,250.62501149683143,-154.57831963714506,48.02334592984319,False
2007-04-13,371.6861633561586,-6.839260436539066,182.42345145980977,False
2007-04-16,502.2485621257415,397.66735578412636,449.95795895493393,False
2007-04-17,9.932341562865982,-194.92954135901564,-92.49859989807483,False
2007-04-18,-194.72426689365565,111.97962969786765,-41.372318597894,False
2007-04-19,-576.327758863377,-156.0501240256281,-366.1889414445025,False
2007-04-20,815.5558340929753,-70.72253041472565,372.4166518391248,False
2007-04-23,-473.5653663436447,9.78906607527713,-231.8881501341838,False
2007-04-24,-1043.2210249654877,44.372026712819014,-499.42449912633435,False
2007-04-25,965.5068152172485,-260.1383408069158,352.68423720516637,False
2007-04-26,-250.36080100050478,-231.91521970161475,-241.13801035105976,False
2007-04-27,443.1315898341648,-19.108990976389954,212.0112994288874,False
2007-04-30,284.4645186066341,318.61537279682136,301.53994570172773,False
2007-05-01,277.8105402916207,73.07160932919821,175.44107481040948,False
2007-05-02,-398.48555481071287,178.31412572866734,-110.08571454102277,False
2007-05-03,261.0547339574846,-25.88149708070492,117.58661843838983,False
2007-05-04,-437.4324757446022,-47.74872690448886,-242.59060132454553,False
2007-05-07,472.7504756823685,132.8613573492714,302.80591651581994,False
2007-05-08,483.816645070304,-234.6826391514982,124.5670029594029,False
2007-05-09,176.87478441383618,211.6988152164492,194.28679981514267,False
2007-05-10,-335.76708804110064,-229.72535475852987,-282.7462213998152,False
2007-05-11,241.4456238364907,27.107747646383313,134.276685741437,False
2007-05-14,408.0007146958068,6.987740706006273,207.49422770090652,False
2007-05-15,99.12668237485182,-7.318350398665096,45.90416598809337,False
2007-05-16,-440.8007949881983,49.58336970154845,-195.6087126433249,False
2007-05-17,651.3266185860249,81.86544925879937,366.5960339224121,False
2007-05-18,-52.72213129364254,-140.12405759656363,-96.42309444510309,False
2007-05-21,242.88066841828598,67.0691663360582,154.9749173771721,False
2007-05-22,31.23304465240071,-5.920158956021525,12.656442848189593,False
2007-05-23,702.9235347539923,74.44759698614703,388.68556587006964,False
2007-05-24,-778.0316085814167,-154.49485825970712,-466.2632334205619,False
2007-05-25,411.08038858147836,-29.01878599500129,191.03080129323854,False
2007-05-29,-291.94324154743816,394.3725164479673,51.214637450264576,False
2007-05-30,323.9221216815704,39.88568847008314,181.90390507582677,False
2007-05-31,794.3619891476845,-121.26554788801121,336.5482206298367,False
2007-06-01,1075.1553651870652,95.72518139796142,585.4402732925133,False
