date,gross,turnover_cost,borrow_cost,net,held_gross_lev,test_year,L,net_stress
2010-07-01,-973.2569910568284,134.86675173668309,2.313266637709553,-1110.437009431221,2.6519809987927196,2010,6,-1177.8703852995627
2010-07-02,-111.05645218896021,0.0,1.250477977008992,-112.3069301659692,1.3939956091013053,2010,6,-112.3069301659692
2010-07-06,-286.7686305828307,0.0,1.250477977008992,-288.0191085598397,1.3939956091013053,2010,6,-288.0191085598397
2010-07-07,-873.3189779125547,0.0,1.250477977008992,-874.5694558895638,1.3939956091013053,2010,6,-874.5694558895638
2010-07-08,-479.6354159706017,0.0,1.250477977008992,-480.88589394761067,1.3939956091013053,2010,6,-480.88589394761067
2010-07-09,-102.28957900883736,0.0,1.250477977008992,-103.54005698584636,1.3939956091013053,2010,6,-103.54005698584636
2010-07-12,229.61370154898955,0.0,1.250477977008992,228.36322357198057,1.3939956091013053,2010,6,228.36322357198057
2010-07-13,-614.0285401010874,0.0,1.250477977008992,-615.2790180780964,1.3939956091013053,2010,6,-615.2790180780964
2010-07-14,176.8080332479727,0.0,1.250477977008992,175.55755527096372,1.3939956091013053,2010,6,175.55755527096372
2010-07-15,33.54355249706089,0.0,1.250477977008992,32.293074520051896,1.3939956091013053,2010,6,32.293074520051896
2010-07-16,753.0141905626718,0.0,1.250477977008992,751.7637125856628,1.3939956091013053,2010,6,751.7637125856628
2010-07-19,-378.9823391452384,0.0,1.250477977008992,-380.2328171222474,1.3939956091013053,2010,6,-380.2328171222474
2010-07-20,-202.80196666243353,0.0,1.250477977008992,-204.0524446394425,1.3939956091013053,2010,6,-204.0524446394425
2010-07-21,921.0286238543947,0.0,1.250477977008992,919.7781458773857,1.3939956091013053,2010,6,919.7781458773857
2010-07-22,-954.2535559810888,0.0,1.250477977008992,-955.5040339580978,1.3939956091013053,2010,6,-955.5040339580978
2010-07-23,-473.8770633881022,0.0,1.250477977008992,-475.1275413651112,1.3939956091013053,2010,6,-475.1275413651112
2010-07-26,-236.6337004086348,0.0,1.250477977008992,-237.8841783856438,1.3939956091013053,2010,6,-237.8841783856438
2010-07-27,-323.8586988343001,0.0,1.250477977008992,-325.1091768113091,1.3939956091013053,2010,6,-325.1091768113091
2010-07-28,370.0068134508561,0.0,1.250477977008992,368.7563354738471,1.3939956091013053,2010,6,368.7563354738471
2010-07-29,-150.78234487820194,0.0,1.250477977008992,-152.03282285521092,1.3939956091013053,2010,6,-152.03282285521092
2010-07-30,432.83047691770093,0.0,1.250477977008992,431.57999894069195,1.3939956091013053,2010,6,431.57999894069195
