test_start,test_end,L,train_sharpe,test_sharpe,test_net_pnl,test_avg_gross_lev
2010-07-01,2011-06-30,6,0.9194564649646719,0.30279039492973986,3029.363352746767,1.6458276848529942
2011-07-01,2012-06-30,3,0.7596397551699109,-0.058730322125573546,-713.210861150119,1.789521821295487
2012-07-01,2013-06-30,12,0.9692327604481344,0.563345480617719,5149.07929246142,2.820541820495985
2013-07-01,2014-06-30,12,1.132426658472089,0.8669372178247392,7738.2129883208,2.643078683983592
2014-07-01,2015-06-30,12,0.715423977614202,1.2564816524251832,14026.24779170581,2.7618534589498585
2015-07-01,2016-06-30,12,0.9170700069170992,-0.19138603934147713,-2094.98038245721,2.4987900920353527
2016-07-01,2017-06-30,6,0.8883598860846353,-0.2579735577651081,-2538.2975195264007,2.2677503599129136
2017-07-01,2018-06-30,COMBO,0.5261822181117328,0.468202066185871,5646.524656026797,2.692130292103956
2018-07-01,2019-06-30,6,0.39406920833424663,-0.7631391909148911,-7019.31818897837,2.9039537809004714
2019-07-01,2020-06-30,COMBO,0.14042800062846467,0.8905294050833611,11250.658186675872,2.437082510736096
2020-07-01,2021-06-30,COMBO,0.3372811471973115,1.6755327113770577,13096.629418708628,1.5188742456746653
2021-07-01,2022-06-30,COMBO,0.620785600616487,1.410019279219369,17788.423565091136,2.351931931688085
2022-07-01,2023-06-30,COMBO,1.2498931205095027,-0.6219613285241631,-6372.560035140788,1.4619051999459538
2023-07-01,2024-06-30,COMBO,0.7842339001645356,-0.5213636759434711,-5169.2591782009395,2.1850991489891576
