datetime,impact,event
2010-06-17T12:30:00Z,high,CPI
2010-06-23T18:00:00Z,high,FOMC
2010-07-02T12:30:00Z,high,NFP
2010-07-16T12:30:00Z,high,CPI
2010-08-06T12:30:00Z,high,NFP
2010-08-10T18:00:00Z,high,FOMC
2010-08-13T12:30:00Z,high,CPI
2010-09-03T12:30:00Z,high,NFP
2010-09-17T12:30:00Z,high,CPI
2010-09-21T18:00:00Z,high,FOMC
2010-10-08T12:30:00Z,high,NFP
2010-10-15T12:30:00Z,high,CPI
2010-11-03T18:00:00Z,high,FOMC
2010-11-05T12:30:00Z,high,NFP
2010-11-17T13:30:00Z,high,CPI
2010-12-03T13:30:00Z,high,NFP
2010-12-14T19:00:00Z,high,FOMC
2010-12-15T13:30:00Z,high,CPI
2011-01-07T13:30:00Z,high,NFP
2011-01-14T13:30:00Z,high,CPI
2011-01-26T19:00:00Z,high,FOMC
2011-02-04T13:30:00Z,high,NFP
2011-02-17T13:30:00Z,high,CPI
2011-03-04T13:30:00Z,high,NFP
2011-03-15T18:00:00Z,high,FOMC
2011-03-17T12:30:00Z,high,CPI
2011-04-01T12:30:00Z,high,NFP
2011-04-15T12:30:00Z,high,CPI
2011-04-27T18:00:00Z,high,FOMC
2011-05-06T12:30:00Z,high,NFP
2011-05-13T12:30:00Z,high,CPI
2011-06-03T12:30:00Z,high,NFP
2011-06-15T12:30:00Z,high,CPI
2011-06-22T18:00:00Z,high,FOMC
2011-07-08T12:30:00Z,high,NFP
2011-07-15T12:30:00Z,high,CPI
2011-08-05T12:30:00Z,high,NFP
2011-08-09T18:00:00Z,high,FOMC
2011-08-18T12:30:00Z,high,CPI
2011-09-02T12:30:00Z,high,NFP
2011-09-15T12:30:00Z,high,CPI
2011-09-21T18:00:00Z,high,FOMC
2011-10-07T12:30:00Z,high,NFP
2011-10-19T12:30:00Z,high,CPI
2011-11-02T18:00:00Z,high,FOMC
2011-11-04T12:30:00Z,high,NFP
2011-11-16T13:30:00Z,high,CPI
2011-12-02T13:30:00Z,high,NFP
2011-12-13T19:00:00Z,high,FOMC
2011-12-16T13:30:00Z,high,CPI
2012-01-06T13:30:00Z,high,NFP
2012-01-19T13:30:00Z,high,CPI
2012-01-25T19:00:00Z,high,FOMC
2012-02-03T13:30:00Z,high,NFP
2012-02-17T13:30:00Z,high,CPI
2012-03-09T13:30:00Z,high,NFP
2012-03-13T18:00:00Z,high,FOMC
2012-03-16T12:30:00Z,high,CPI
2012-04-06T12:30:00Z,high,NFP
2012-04-13T12:30:00Z,high,CPI
2012-04-25T18:00:00Z,high,FOMC
2012-05-04T12:30:00Z,high,NFP
2012-05-15T12:30:00Z,high,CPI
2012-06-01T12:30:00Z,high,NFP
2012-06-14T12:30:00Z,high,CPI
2012-06-20T18:00:00Z,high,FOMC
2012-07-06T12:30:00Z,high,NFP
2012-07-17T12:30:00Z,high,CPI
2012-08-01T18:00:00Z,high,FOMC
2012-08-03T12:30:00Z,high,NFP
2012-08-15T12:30:00Z,high,CPI
2012-09-07T12:30:00Z,high,NFP
2012-09-13T18:00:00Z,high,FOMC
2012-09-14T12:30:00Z,high,CPI
2012-10-05T12:30:00Z,high,NFP
2012-10-16T12:30:00Z,high,CPI
2012-10-24T18:00:00Z,high,FOMC
2012-11-02T12:30:00Z,high,NFP
