datetime,impact,event
2012-11-15T13:30:00Z,high,CPI
2012-12-07T13:30:00Z,high,NFP
2012-12-12T19:00:00Z,high,FOMC
2012-12-14T13:30:00Z,high,CPI
2013-01-04T13:30:00Z,high,NFP
2013-01-16T13:30:00Z,high,CPI
2013-01-30T19:00:00Z,high,FOMC
2013-02-01T13:30:00Z,high,NFP
2013-02-21T13:30:00Z,high,CPI
2013-03-08T13:30:00Z,high,NFP
2013-03-15T12:30:00Z,high,CPI
2013-03-20T18:00:00Z,high,FOMC
2013-04-05T12:30:00Z,high,NFP
2013-04-16T12:30:00Z,high,CPI
2013-05-01T18:00:00Z,high,FOMC
2013-05-03T12:30:00Z,high,NFP
2013-05-16T12:30:00Z,high,CPI
2013-06-07T12:30:00Z,high,NFP
2013-06-18T12:30:00Z,high,CPI
2013-06-19T18:00:00Z,high,FOMC
2013-07-05T12:30:00Z,high,NFP
2013-07-16T12:30:00Z,high,CPI
2013-07-31T18:00:00Z,high,FOMC
2013-08-02T12:30:00Z,high,NFP
2013-08-15T12:30:00Z,high,CPI
2013-09-06T12:30:00Z,high,NFP
2013-09-17T12:30:00Z,high,CPI
2013-09-18T18:00:00Z,high,FOMC
2013-10-04T12:30:00Z,high,NFP
2013-10-16T12:30:00Z,high,CPI
2013-10-30T18:00:00Z,high,FOMC
2013-11-01T12:30:00Z,high,NFP
2013-11-15T13:30:00Z,high,CPI
2013-12-06T13:30:00Z,high,NFP
2013-12-17T13:30:00Z,high,CPI
2013-12-18T19:00:00Z,high,FOMC
2014-01-10T13:30:00Z,high,NFP
2014-01-16T13:30:00Z,high,CPI
2014-01-29T19:00:00Z,high,FOMC
2014-02-07T13:30:00Z,high,NFP
2014-02-20T13:30:00Z,high,CPI
2014-03-07T13:30:00Z,high,NFP
2014-03-18T12:30:00Z,high,CPI
2014-03-19T18:00:00Z,high,FOMC
2014-04-04T12:30:00Z,high,NFP
2014-04-15T12:30:00Z,high,CPI
2014-04-30T18:00:00Z,high,FOMC
2014-05-02T12:30:00Z,high,NFP
2014-05-15T12:30:00Z,high,CPI
2014-06-06T12:30:00Z,high,NFP
2014-06-17T12:30:00Z,high,CPI
2014-06-18T18:00:00Z,high,FOMC
2014-07-03T12:30:00Z,high,NFP
2014-07-22T12:30:00Z,high,CPI
2014-07-30T18:00:00Z,high,FOMC
2014-08-01T12:30:00Z,high,NFP
2014-08-19T12:30:00Z,high,CPI
2014-09-05T12:30:00Z,high,NFP
2014-09-17T12:30:00Z,high,CPI
2014-09-17T18:00:00Z,high,FOMC
2014-10-03T12:30:00Z,high,NFP
2014-10-22T12:30:00Z,high,CPI
2014-10-29T18:00:00Z,high,FOMC
2014-11-07T13:30:00Z,high,NFP
2014-11-20T13:30:00Z,high,CPI
2014-12-05T13:30:00Z,high,NFP
2014-12-17T13:30:00Z,high,CPI
2014-12-17T19:00:00Z,high,FOMC
2015-01-09T13:30:00Z,high,NFP
2015-01-16T13:30:00Z,high,CPI
2015-01-28T19:00:00Z,high,FOMC
2015-02-06T13:30:00Z,high,NFP
2015-02-26T13:30:00Z,high,CPI
2015-03-06T13:30:00Z,high,NFP
2015-03-18T18:00:00Z,high,FOMC
2015-03-24T12:30:00Z,high,CPI
2015-04-03T12:30:00Z,high,NFP
2015-04-17T12:30:00Z,high,CPI
2015-04-29T18:00:00Z,high,FOMC
2015-05-08T12:30:00Z,high,NFP
2015-05-22T12:30:00Z,high,CPI
2015-06-05T12:30:00Z,high,NFP
2015-06-17T18:00:00Z,high,FOMC
2015-06-18T12:30:00Z,high,CPI
2015-07-02T12:30:00Z,high,NFP
2015-07-17T12:30:00Z,high,CPI
2015-07-29T18:00:00Z,high,FOMC
2015-08-07T12:30:00Z,high,NFP
2015-08-19T12:30:00Z,high,CPI
2015-09-04T12:30:00Z,high,NFP
2015-09-16T12:30:00Z,high,CPI
2015-09-17T18:00:00Z,high,FOMC
2015-10-02T12:30:00Z,high,NFP
2015-10-15T12:30:00Z,high,CPI
2015-10-28T18:00:00Z,high,FOMC
2015-11-06T13:30:00Z,high,NFP
2015-11-17T13:30:00Z,high,CPI
2015-12-04T13:30:00Z,high,NFP
2015-12-15T13:30:00Z,high,CPI
2015-12-16T19:00:00Z,high,FOMC
2016-01-08T13:30:00Z,high,NFP
2016-01-20T13:30:00Z,high,CPI
2016-01-27T19:00:00Z,high,FOMC
2016-02-05T13:30:00Z,high,NFP
2016-02-19T13:30:00Z,high,CPI
2016-03-04T13:30:00Z,high,NFP
2016-03-16T12:30:00Z,high,CPI
2016-03-16T18:00:00Z,high,FOMC
2016-04-01T12:30:00Z,high,NFP
2016-04-14T12:30:00Z,high,CPI
2016-04-27T18:00:00Z,high,FOMC
2016-05-06T12:30:00Z,high,NFP
2016-05-17T12:30:00Z,high,CPI
2016-06-03T12:30:00Z,high,NFP
2016-06-15T18:00:00Z,high,FOMC
2016-06-16T12:30:00Z,high,CPI
2016-07-08T12:30:00Z,high,NFP
2016-07-15T12:30:00Z,high,CPI
2016-07-27T18:00:00Z,high,FOMC
2016-08-05T12:30:00Z,high,NFP
2016-08-16T12:30:00Z,high,CPI
2016-09-02T12:30:00Z,high,NFP
2016-09-16T12:30:00Z,high,CPI
2016-09-21T18:00:00Z,high,FOMC
2016-10-07T12:30:00Z,high,NFP
2016-10-18T12:30:00Z,high,CPI
2016-11-02T18:00:00Z,high,FOMC
2016-11-04T12:30:00Z,high,NFP
2016-11-17T13:30:00Z,high,CPI
2016-12-02T13:30:00Z,high,NFP
2016-12-14T19:00:00Z,high,FOMC
2016-12-15T13:30:00Z,high,CPI
2017-01-06T13:30:00Z,high,NFP
2017-01-18T13:30:00Z,high,CPI
2017-02-01T19:00:00Z,high,FOMC
2017-02-03T13:30:00Z,high,NFP
2017-02-15T13:30:00Z,high,CPI
2017-03-10T13:30:00Z,high,NFP
2017-03-15T12:30:00Z,high,CPI
2017-03-15T18:00:00Z,high,FOMC
2017-04-07T12:30:00Z,high,NFP
2017-04-14T12:30:00Z,high,CPI
2017-05-03T18:00:00Z,high,FOMC
2017-05-05T12:30:00Z,high,NFP
2017-05-12T12:30:00Z,high,CPI
2017-06-02T12:30:00Z,high,NFP
2017-06-14T12:30:00Z,high,CPI
2017-06-14T18:00:00Z,high,FOMC
2017-07-07T12:30:00Z,high,NFP
2017-07-14T12:30:00Z,high,CPI
2017-07-26T18:00:00Z,high,FOMC
2017-08-04T12:30:00Z,high,NFP
2017-08-11T12:30:00Z,high,CPI
2017-09-01T12:30:00Z,high,NFP
2017-09-14T12:30:00Z,high,CPI
2017-09-20T18:00:00Z,high,FOMC
2017-10-06T12:30:00Z,high,NFP
2017-10-13T12:30:00Z,high,CPI
2017-11-01T18:00:00Z,high,FOMC
2017-11-03T12:30:00Z,high,NFP
2017-11-15T13:30:00Z,high,CPI
2017-12-08T13:30:00Z,high,NFP
2017-12-13T13:30:00Z,high,CPI
2017-12-13T19:00:00Z,high,FOMC
2018-01-05T13:30:00Z,high,NFP
2018-01-12T13:30:00Z,high,CPI
2018-01-31T19:00:00Z,high,FOMC
2018-02-02T13:30:00Z,high,NFP
2018-02-14T13:30:00Z,high,CPI
2018-03-09T13:30:00Z,high,NFP
2018-03-13T12:30:00Z,high,CPI
2018-03-21T18:00:00Z,high,FOMC
2018-04-06T12:30:00Z,high,NFP
2018-04-11T12:30:00Z,high,CPI
2018-05-02T18:00:00Z,high,FOMC
2018-05-04T12:30:00Z,high,NFP
2018-05-10T12:30:00Z,high,CPI
2018-06-01T12:30:00Z,high,NFP
2018-06-12T12:30:00Z,high,CPI
2018-06-13T18:00:00Z,high,FOMC
2018-07-06T12:30:00Z,high,NFP
2018-07-12T12:30:00Z,high,CPI
2018-08-01T18:00:00Z,high,FOMC
2018-08-03T12:30:00Z,high,NFP
2018-08-10T12:30:00Z,high,CPI
2018-09-07T12:30:00Z,high,NFP
2018-09-13T12:30:00Z,high,CPI
2018-09-26T18:00:00Z,high,FOMC
2018-10-05T12:30:00Z,high,NFP
2018-10-11T12:30:00Z,high,CPI
2018-11-02T12:30:00Z,high,NFP
2018-11-08T19:00:00Z,high,FOMC
2018-11-14T13:30:00Z,high,CPI
2018-12-07T13:30:00Z,high,NFP
2018-12-12T13:30:00Z,high,CPI
2018-12-19T19:00:00Z,high,FOMC
2019-01-04T13:30:00Z,high,NFP
2019-01-11T13:30:00Z,high,CPI
2019-01-30T19:00:00Z,high,FOMC
2019-02-01T13:30:00Z,high,NFP
2019-02-13T13:30:00Z,high,CPI
2019-03-08T13:30:00Z,high,NFP
2019-03-12T12:30:00Z,high,CPI
2019-03-20T18:00:00Z,high,FOMC
2019-04-05T12:30:00Z,high,NFP
2019-04-10T12:30:00Z,high,CPI
2019-05-01T18:00:00Z,high,FOMC
2019-05-03T12:30:00Z,high,NFP
2019-05-10T12:30:00Z,high,CPI
2019-06-07T12:30:00Z,high,NFP
2019-06-12T12:30:00Z,high,CPI
2019-06-19T18:00:00Z,high,FOMC
2019-07-05T12:30:00Z,high,NFP
2019-07-11T12:30:00Z,high,CPI
2019-07-31T18:00:00Z,high,FOMC
2019-08-02T12:30:00Z,high,NFP
2019-08-13T12:30:00Z,high,CPI
2019-09-06T12:30:00Z,high,NFP
2019-09-12T12:30:00Z,high,CPI
2019-09-18T18:00:00Z,high,FOMC
2019-10-04T12:30:00Z,high,NFP
2019-10-10T12:30:00Z,high,CPI
2019-10-30T18:00:00Z,high,FOMC
2019-11-01T12:30:00Z,high,NFP
2019-11-13T13:30:00Z,high,CPI
2019-12-06T13:30:00Z,high,NFP
2019-12-11T13:30:00Z,high,CPI
2019-12-11T19:00:00Z,high,FOMC
2020-01-10T13:30:00Z,high,NFP
2020-01-14T13:30:00Z,high,CPI
2020-01-29T19:00:00Z,high,FOMC
2020-02-07T13:30:00Z,high,NFP
2020-02-13T13:30:00Z,high,CPI
2020-03-06T13:30:00Z,high,NFP
2020-03-11T12:30:00Z,high,CPI
2020-03-18T18:00:00Z,high,FOMC
2020-04-03T12:30:00Z,high,NFP
2020-04-10T12:30:00Z,high,CPI
2020-04-29T18:00:00Z,high,FOMC
2020-05-08T12:30:00Z,high,NFP
2020-05-12T12:30:00Z,high,CPI
2020-06-05T12:30:00Z,high,NFP
2020-06-10T12:30:00Z,high,CPI
2020-06-10T18:00:00Z,high,FOMC
2020-07-02T12:30:00Z,high,NFP
2020-07-14T12:30:00Z,high,CPI
2020-07-29T18:00:00Z,high,FOMC
2020-08-07T12:30:00Z,high,NFP
2020-08-12T12:30:00Z,high,CPI
2020-09-04T12:30:00Z,high,NFP
2020-09-11T12:30:00Z,high,CPI
2020-09-16T18:00:00Z,high,FOMC
2020-10-02T12:30:00Z,high,NFP
2020-10-13T12:30:00Z,high,CPI
2020-11-05T19:00:00Z,high,FOMC
2020-11-06T13:30:00Z,high,NFP
2020-11-12T13:30:00Z,high,CPI
2020-12-04T13:30:00Z,high,NFP
2020-12-10T13:30:00Z,high,CPI
2020-12-16T19:00:00Z,high,FOMC
2021-01-08T13:30:00Z,high,NFP
2021-01-13T13:30:00Z,high,CPI
2021-01-27T19:00:00Z,high,FOMC
2021-02-05T13:30:00Z,high,NFP
2021-02-10T13:30:00Z,high,CPI
2021-03-05T13:30:00Z,high,NFP
2021-03-10T13:30:00Z,high,CPI
2021-03-17T18:00:00Z,high,FOMC
2021-04-02T12:30:00Z,high,NFP
2021-04-13T12:30:00Z,high,CPI
2021-04-28T18:00:00Z,high,FOMC
2021-05-07T12:30:00Z,high,NFP
2021-05-12T12:30:00Z,high,CPI
2021-06-04T12:30:00Z,high,NFP
2021-06-10T12:30:00Z,high,CPI
2021-06-16T18:00:00Z,high,FOMC
2021-07-02T12:30:00Z,high,NFP
2021-07-13T12:30:00Z,high,CPI
2021-07-28T18:00:00Z,high,FOMC
2021-08-06T12:30:00Z,high,NFP
2021-08-11T12:30:00Z,high,CPI
2021-09-03T12:30:00Z,high,NFP
2021-09-14T12:30:00Z,high,CPI
2021-09-22T18:00:00Z,high,FOMC
2021-10-08T12:30:00Z,high,NFP
2021-10-13T12:30:00Z,high,CPI
2021-11-03T18:00:00Z,high,FOMC
2021-11-05T12:30:00Z,high,NFP
2021-11-10T13:30:00Z,high,CPI
2021-12-03T13:30:00Z,high,NFP
2021-12-10T13:30:00Z,high,CPI
2021-12-15T19:00:00Z,high,FOMC
2022-01-07T13:30:00Z,high,NFP
2022-01-12T13:30:00Z,high,CPI
2022-01-26T19:00:00Z,high,FOMC
2022-02-04T13:30:00Z,high,NFP
2022-02-10T13:30:00Z,high,CPI
2022-03-04T13:30:00Z,high,NFP
2022-03-10T13:30:00Z,high,CPI
2022-03-16T18:00:00Z,high,FOMC
2022-04-01T12:30:00Z,high,NFP
2022-04-12T12:30:00Z,high,CPI
2022-05-04T18:00:00Z,high,FOMC
2022-05-06T12:30:00Z,high,NFP
2022-05-11T12:30:00Z,high,CPI
2022-06-03T12:30:00Z,high,NFP
2022-06-10T12:30:00Z,high,CPI
2022-06-15T18:00:00Z,high,FOMC
2022-07-08T12:30:00Z,high,NFP
2022-07-13T12:30:00Z,high,CPI
2022-07-27T18:00:00Z,high,FOMC
2022-08-05T12:30:00Z,high,NFP
2022-08-10T12:30:00Z,high,CPI
2022-09-02T12:30:00Z,high,NFP
2022-09-13T12:30:00Z,high,CPI
2022-09-21T18:00:00Z,high,FOMC
2022-10-07T12:30:00Z,high,NFP
2022-10-13T12:30:00Z,high,CPI
2022-11-02T18:00:00Z,high,FOMC
2022-11-04T12:30:00Z,high,NFP
2022-11-10T13:30:00Z,high,CPI
2022-12-02T13:30:00Z,high,NFP
2022-12-13T13:30:00Z,high,CPI
2022-12-14T19:00:00Z,high,FOMC
2023-01-06T13:30:00Z,high,NFP
2023-01-12T13:30:00Z,high,CPI
2023-02-01T19:00:00Z,high,FOMC
2023-02-03T13:30:00Z,high,NFP
2023-02-14T13:30:00Z,high,CPI
2023-03-10T13:30:00Z,high,NFP
2023-03-14T12:30:00Z,high,CPI
2023-03-22T18:00:00Z,high,FOMC
2023-04-07T12:30:00Z,high,NFP
2023-04-12T12:30:00Z,high,CPI
2023-05-03T18:00:00Z,high,FOMC
2023-05-05T12:30:00Z,high,NFP
2023-05-10T12:30:00Z,high,CPI
2023-06-02T12:30:00Z,high,NFP
2023-06-13T12:30:00Z,high,CPI
2023-06-14T18:00:00Z,high,FOMC
2023-07-07T12:30:00Z,high,NFP
2023-07-12T12:30:00Z,high,CPI
2023-07-26T18:00:00Z,high,FOMC
2023-08-04T12:30:00Z,high,NFP
2023-08-10T12:30:00Z,high,CPI
2023-09-01T12:30:00Z,high,NFP
2023-09-13T12:30:00Z,high,CPI
2023-09-20T18:00:00Z,high,FOMC
2023-10-06T12:30:00Z,high,NFP
2023-10-12T12:30:00Z,high,CPI
2023-11-01T18:00:00Z,high,FOMC
2023-11-03T12:30:00Z,high,NFP
2023-11-14T13:30:00Z,high,CPI
2023-12-08T13:30:00Z,high,NFP
2023-12-12T13:30:00Z,high,CPI
2023-12-13T19:00:00Z,high,FOMC
2024-01-05T13:30:00Z,high,NFP
2024-01-11T13:30:00Z,high,CPI
2024-01-31T19:00:00Z,high,FOMC
2024-02-02T13:30:00Z,high,NFP
2024-02-13T13:30:00Z,high,CPI
2024-03-08T13:30:00Z,high,NFP
2024-03-12T12:30:00Z,high,CPI
2024-03-20T18:00:00Z,high,FOMC
2024-04-05T12:30:00Z,high,NFP
2024-04-10T12:30:00Z,high,CPI
2024-05-01T18:00:00Z,high,FOMC
2024-05-03T12:30:00Z,high,NFP
2024-05-15T12:30:00Z,high,CPI
2024-06-07T12:30:00Z,high,NFP
2024-06-12T12:30:00Z,high,CPI
2024-06-12T18:00:00Z,high,FOMC
2024-07-05T12:30:00Z,high,NFP
2024-07-11T12:30:00Z,high,CPI
2024-07-31T18:00:00Z,high,FOMC
2024-08-02T12:30:00Z,high,NFP
2024-08-14T12:30:00Z,high,CPI
2024-09-06T12:30:00Z,high,NFP
2024-09-11T12:30:00Z,high,CPI
2024-09-18T18:00:00Z,high,FOMC
2024-10-04T12:30:00Z,high,NFP
2024-10-10T12:30:00Z,high,CPI
2024-11-01T12:30:00Z,high,NFP
2024-11-07T19:00:00Z,high,FOMC
2024-11-13T13:30:00Z,high,CPI
2024-12-06T13:30:00Z,high,NFP
2024-12-11T13:30:00Z,high,CPI
2024-12-18T19:00:00Z,high,FOMC
2025-01-10T13:30:00Z,high,NFP
2025-01-15T13:30:00Z,high,CPI
2025-01-29T19:00:00Z,high,FOMC
2025-02-07T13:30:00Z,high,NFP
2025-02-12T13:30:00Z,high,CPI
2025-03-07T13:30:00Z,high,NFP
2025-03-12T12:30:00Z,high,CPI
2025-03-19T18:00:00Z,high,FOMC
2025-04-04T12:30:00Z,high,NFP
2025-04-10T12:30:00Z,high,CPI
2025-05-02T12:30:00Z,high,NFP
2025-05-07T18:00:00Z,high,FOMC
2025-05-13T12:30:00Z,high,CPI
2025-06-06T12:30:00Z,high,NFP
2025-06-11T12:30:00Z,high,CPI
2025-06-18T18:00:00Z,high,FOMC
2025-07-03T12:30:00Z,high,NFP
2025-07-15T12:30:00Z,high,CPI
2025-07-30T18:00:00Z,high,FOMC
2025-08-01T12:30:00Z,high,NFP
2025-08-12T12:30:00Z,high,CPI
2025-09-05T12:30:00Z,high,NFP
2025-09-11T12:30:00Z,high,CPI
2025-09-17T18:00:00Z,high,FOMC
2025-10-24T12:30:00Z,high,CPI
2025-10-29T18:00:00Z,high,FOMC
2025-11-20T13:30:00Z,high,NFP
2025-12-10T19:00:00Z,high,FOMC
2025-12-16T13:30:00Z,high,NFP
2025-12-18T13:30:00Z,high,CPI
2026-01-09T13:30:00Z,high,NFP
2026-01-13T13:30:00Z,high,CPI
2026-01-28T19:00:00Z,high,FOMC
2026-03-18T18:00:00Z,high,FOMC
2026-04-29T18:00:00Z,high,FOMC
2026-06-17T18:00:00Z,high,FOMC
2026-07-29T18:00:00Z,high,FOMC
2026-09-16T18:00:00Z,high,FOMC
2026-10-28T18:00:00Z,high,FOMC
2026-12-09T19:00:00Z,high,FOMC
